,id,headline,Lab_1_x,Lab_1_y,Lab_1_z,lab_1,label
21,41b4eb5d38bba90e5c87f47af2801732a5d1a7b7bf6667e915518c3920b1f235,Confrontations between rival protesters at UCLA over Gaza war,O,O,O,O,0
22,96c5a313a075f0e110d7b4c4c0478fb3033b0777a119b7595461b12bfd293afb,"Israel withdraws all ground troops from southern Gaza, leaving just one IDF brigade in the enclave",O,O,O,O,0
23,584b9f29e4b9b663264264badf30ac61391db6a6625b936632b4631318d8d879,Deadline looms for Hamas to respond to offer of a ceasefire,O,O,S,O,0
24,36fb4f07b8ae7a33c0b41b289190ea47254e7ccd7e5a492c94dcaf4630691a3a,Conservative attacks on National Trust are desperate,S,S,S,S,1
25,8a1e2cb4b21653cadc9b6bbe02caf7ade12a87383c386a8223cbef2f658bef0b,Israel Gaza: Ceasefire talks resume as Rafah under fire,O,O,S,O,0
26,e33cc9a381ff50cbf1d3c14f074e14c522b3a9162b941c865f034ed7a01754a2,Anti-Israel protester charged for spray-painting 'Gaza' on statue outside DC's Union Station: prosecutors,O,O,O,O,0
27,e85c8763f2b48e88220cccb865b899a26b981cbe51e952c597a649c23cd6d595,Holocaust Survivors' Foundation condemns Oscar winner equating Israel with Hamas: 'Morally indefensible',S,O,S,S,1
28,db4f6dd33afe12312f6b40a50ca1ca11bd0f6526ee92000bc46644c3539f7cd1,Biden to award Medal of Honor to Union soldiers in 'one of the earliest special operations' in Army history,O,O,S,O,0
29,4d254a4284ead09b651504f5d42ea1edaf5ef96757c42193361b7c50718de471,Brazil withdraws ambassador to Israel after Gaza war criticism,O,O,O,O,0
30,8f54c4e36f7b6638ba8183b76816f53968b9dfed40063f142dbca9ddffa85ff7,Thousands of military families and civilians continue to suffer health problems from 2021 fuel leak in Hawaii,O,O,S,O,0
31,3c924dc87f30136f24627783539dfa421dac2f76684823b6de15c253746f4201,"Biden vows G7 response, ‘ironclad’ US support for Israel after Iran attacks",S,S,S,S,1
32,68965d2c4f3f002831f6447cba9328909612142aa55aaaf406468e626ff0f227,Rift in Israel war cabinet as defence chief opposes ‘military rule’ in Gaza,S,O,S,S,1
33,312c8927557ab65d334a353b0a3980c689c63da55c7931be356fb6c2e8c108ea,"Israeli tanks push back into northern Gaza, warplanes hit Rafah",O,O,O,O,0
34,723fee3db71ba970ae3aa5b26e9f6ed9a78aebefb9353c3546e5d44115eaf3dd,"‘Beaten, stripped, used as human shield’: Gaza victim recalls Israel terror",S,S,S,S,1
35,692026d3e656bc24086cb1339b347042b26ec12aa3e9770d4a0becf60ba26aa0,UK arms ban for Israel would strengthen Hamas: Cameron,O,O,O,O,0
36,d999b8e13aa0983388b2733155bac084736638ab21448089578549545caa4690,Israeli air strike kills 10 family members of Hamas chief Haniyeh in Gaza,O,O,O,O,0
37,fd4fe07ee68062b7a31faa364e35d33e8217f79191d4fe8a6327179fc19ea598,Israeli forces kill three Palestinians in West Bank hospital raid,O,O,O,O,0
38,f8c9fb9275f0cb1605d9d483531b4d5aea061737524c3a7779ff1eeba7b55727,Israeli soldiers taunt Palestinians at Gaza checkpoint,O,O,O,O,0
39,6c2760404feca73fe080b7f744db5a01f50b568a1fc1648c8768df7b1ff52db1,"Israel vows not to ‘stop’ as Gaza death toll nears 24,000 on day 100 of war",O,O,S,O,0
40,d80a57382b1fca08217a9dbedc1683534a56bb7d35d821fa470c678045bbc87d,"Stanford student called for Biden's assassination for advancing 'genocide' of Palestinians, classmate claims",S,S,S,S,1
41,fda3a5340e31758108c7781ff1b090d5679006f8767c475db03e9a02703d0afc,"War on Gaza, the view from Israel",O,O,O,O,0
42,957facb6e8e1ad9055f7a1bb6d6706e67c765ee6a0c3ab329bf00e3d419678b9,Israel condemns Brazil's Lula likening Gaza war to Holocaust,O,O,O,O,0
43,b9fd8cce2cfb19f5d5f6faa2a417dc998ff1178fc953a40d9cbc9019c1ae5b5b,Presumed Israeli attack on Iran,O,O,O,O,0
44,bd2b43200b8451bf8b910b6e7ea2329c738a923542cd081429c608850d8186ad,Criticism of Israel’s war and occupation is not anti-Semitism,O,O,O,O,0
45,d0dc9305d134763de8b8a5ae1aa029fab0eeecedb3c66aa620beb260a89e5b3c,Kamala Harris still unclear on whether she would stop weapons shipments to Israel,O,O,O,O,0
46,a20de4e6a375ffb46d3c7e93f0b5f39b75b2e90004b262453ec007ceee007a1a,Israel and Hezbollah: Fears of escalation after flurry of attacks,S,O,S,S,1
47,1a32ccf12769c79661fd37244a774bfc776cdf6dbfbc8c7dc61ec42c13d5d5a3,"Pennsylvania Democrat backs Trump, issues warning on Harris: 'There's only one candidate here'",S,O,S,S,1
48,b3076afd5cb8ebe0547a3853e95ba7b432e533fdc0a1c107312cb7ee0bfdb5aa,Hezbollah missile attack kills Israeli woman and son,O,O,O,O,0
49,312434aa985afb3460cf4a846fb60dc2ec02b9b377d46244a4f3924665c04a77,Squad' Democrat declares 'all lives do matter' calling for ceasefire in Israel-Hamas war,S,O,S,S,1
50,0e2b05003d54719d0f6711d7468984b5ba399860c3d6c412383560a255d409d6,Tracking Houthi attacks in the Red Sea,O,O,O,O,0
51,8ab37ddcb6ff915a79db558ea1d2778f5fcad7ed52512bfdb3203b57e98caac9,"Israel’s war on Gaza: List of key events, day 190",O,O,O,O,0
52,79a541c52d714a99ebe82eb59a46b72038c182c3f996e363549ed242573dfce1,Israel-Gaza war: UN says staff member killed in Gaza,O,O,O,O,0
53,69cccd8f9bd8ac70b9000ceb69928346ea1424d5bfeb0386117b69e51da0baed,What’s behind the US generational divide on Israel’s war on Gaza?,O,O,O,O,0
54,fd6859c0cf02bd33839d1a407955968647fb222b7ed5d23ef2cf86b0993d5208,Hamas releases more Israeli hostages on 6th day of cease-fire,O,O,O,O,0
55,85ff92e914caaa9eabdadb67465dd8b354880fa6f62b471d6844d291afbfd37e,"Fox News ‘Antisemitism Exposed’ Newsletter: Spielberg denounces antisemitism, Israeli hostage speaks out",O,S,S,S,1
56,08e9aa207b55ba7ead07df24edf468b6a5a31786fda06364360f6a5549a47ecf,Israel-Gaza: Second day of hostage and prisoner releases,O,O,O,O,0
57,c8bb9b292e68fefb6190cc71d8a2cca09aad9519fd6d5ae2158a7f41c9ae0169,"Israeli raids kill 3 more Palestinians in West Bank, health officials say",O,O,O,O,0
58,84d5b9e3ec7c71cb684394d94a4d17ccf22c044455d949796718e85c05e43d12,CNN fact-checks Tim Walz about ‘absolutely false’ claim he carried weapons 'in war',S,S,S,S,1
59,694ce8370f32f002dc13e7a5a835de52b15f04280c905d88718c23bfef1a1b25,Palestinians welcome Chile and Mexico’s call for ICC probe into Gaza war,O,O,O,O,0
60,f166eccb5526d4e454bc9335522fccc8c96d472c6adc2309dff7bb9216e3f09b,Outrage at pro-Hamas protest as London cop threatens man with arrest for 'openly Jewish' appearance,S,S,O,S,1
61,f6ad27287d747138baec58ca81eae20db4f23e192573aa2cdbb4abad93f224f3,"Anti-Israel protests at Columbia a frightening 'attack on American values,' student says",O,O,O,O,0
62,6cc0625fe8dc8d753dca645b8a339288745e0995d04ac571017f8f15156eafaa,Oppenheimer critic says movie's awards season success marks ‘troubling’ return to ‘macho’ dad movies,S,O,S,S,1
63,1cce1b0ee2bd65b92fe7d242e835846bbda75056aa2acdca8920335c5b393921,Gadi Haggai: White House says US-Israeli hostage dead in Gaza,O,O,O,O,0
64,c51734f22172ba1d6ba7d9a2f53993d3e8f2afc362b1ab3aa4b84ac9b0618b2c,Israeli politician quotes Hitler to advocate for a ‘Hebrew Gaza’,S,S,S,S,1
65,1d4887f9076ea2d1f2d77be3dae967b2b00b5ad284bd50b0e854a724aed2dbee,Israel outlines post-war plans for Gaza,O,O,O,O,0
66,129bb478741b3d25a3311175c8ba02571975fcd02e39430189fbc75766cdc677,"HARDtalk, Husam Zomlot: Is diplomacy dead in the Israel-Gaza conflict",S,S,S,S,1
67,86cc8c5df022a92fdef56802560bb93774a8ddf6cab6fa06077b4e6b5473b680,IDF claims photos show Hamas combatants inside UN compound in Rafah,O,O,O,O,0
68,d10faf8ea0db50eea136aa34d71a6b6949b9682a72dbd89f0b8241818726bb52,"Jewish survivor of Hamas Oct. 7 terror attack is 'still reeling,' pleads for peace in Israel",S,S,S,S,1
69,beda4b8df257f7a1a7fd69b26540499a9a70f8b336caf9856e66a6333aaf5bab,Gaza ceasefire: Israel's PM Benjamin Netanyahu rejects Hamas's proposed terms,O,O,S,O,0
70,0e54e57e1e2b700f1b8b3233419fbba54c97031127913d62c95b389cf8f98cf6,IDF spokesman says goal of completely destroying Hamas is unattainable in blow to Netanyahu,S,O,S,S,1
71,6d04bada7fcfe7f816492858ac7bd948a37a7f0624e811c1fe3cd4674a510ff1,Ecuador prosecutor investigating gang attack on TV studio shot dead,O,O,O,O,0
72,67ce4430c396fa89faf4aa9de2cb9ef2ae474980a974d243f2f919de382b5c60,"Anti-Israel, pro-Palestinian protests 'cheapen the concept of genocide,' says Jewish historian and author",S,O,S,S,1
73,736fe10fc271d296741486d2e8911c5028c0cccafbc605d4fa3d18129162cdac,Hezbollah steps back from all-out war on Israel over Gaza,O,O,S,O,0
74,783de499cdd25930affa84049b65f286359bd5e0437ada6e65592ae54bbd86cc,Dabke dance troupe brings relief to Gaza’s war-weary children,S,O,S,S,1
75,6ab8af8ce45123709667bc6a2abaa52a211795cbb30fa72beab4efce4b0fb397,"Israeli forces killed 40 Hamas terrorists, located weapons cache and underground tunnel in latest operation",O,O,O,O,0
76,648f968ee739d94ed7e288a6a06d24a0dd0a2cdf5aa730040ec98fb34d2572e1,Scores hurt in Israeli attack on Gaza City internet access point,O,O,S,O,0
77,b5fb29d3a037cb483f44cb6addd58e455e5f1286f85dfe0e3de454e86af7d9ff,Protests around the world commemorate one year of Israel’s war on Gaza,O,O,S,O,0
78,9abe60b4df7a0c137b8aecda427742709d454810e8d1f3eb3dfe5ffe922beff7,Iran and Hamas argue over credit for Oct. 7 terror attacks: 'Looking to wash blood away with blood',S,S,S,S,1
79,ba0374b584fdd4f3b3efb93a183fdd82ed942e3acef2144684127d4fe7bf3710,"At least 40 killed in Israeli attack on al-Mawasi tent camp, officials say",O,O,O,O,0
80,d29d6e546fd88b52aaa8f29e5cf3fa2ab8ec9026747c6140d6a1643ef841a74e,Israel-Gaza war: At least 45 killed at Al-Maghazi refugee camp,O,O,S,O,0
81,f9608701ef285c8c89f36c4d75c3c0908772ba2cdb0740c52d7d840510a6e165,Palestine urges ICC arrest warrant for Smotrich over call to starve Gaza,O,O,S,O,0
82,53a486007f2c07d37d3c6a2a571861e0ddc929784f7f1e73805d1128adcf3c99,There is ‘absolutely no’ cease-fire happening in the Israel-Hamas war: Ophir Falk,S,S,S,S,1
83,71b9fdbb1e4b6f9db0ebb110037ce3f401ff0f62e95ad7be9446c4063eed5460,Gaza City school shelter hit by deadly Israeli military strike,O,O,S,O,0
84,09d6dac0244df2b1bec3b42806c636166e910eab070a7c7125421d7dca2c514a,Gaza: Benjamin Netanyahu sets date for Rafah offensive as pressure grows,S,O,O,O,0
85,35398056c86fe394662648b457cec3bb61ef052e3ccece2a95a76610ebf46622,Biden ignores Palestinian terror on West Bank as administration sanctions four Israelis: 'Pure politics',S,S,S,S,1
86,3f5223c8de38682b4606cdc888aa97abc341cf8eb47dcc77f9a8d6ba9308a739,"France calls for Gaza truce, condemns killing of worker in Israeli attack",O,O,O,O,0
87,fd142b47cb8bafad9ca319362126e9d4e63c5c3d239e7a8b907a0e33fe444f59,Israel vows to continue Rafah operation,O,O,S,O,0
88,319c3c3fd4aa7a8c21daa4d0563b7b762559c7662e5da86219face6b19420ce6,Israel-Gaza war: Biden to halt some arms supplies if Israel invades Rafah,O,O,S,O,0
89,8c975b6dfc7a5690bdf331dfbeb65e270df501c62c202c0e74612e21d9488f85,David Cameron urges Israel to fix Gaza aid shortages,O,O,O,O,0
90,45ced6907879f84ea6591ac70de4243cda16ff207c3badb20d5d89efe9c1d57e,"Islamophobia, anti-Semitism rises in Europe amid Israel-Hamas war: Official",O,O,S,O,0
91,e8d3312fd79af610ca5252c39947f7220bca1122844087658dcc6b4ecd6931cd,Israeli bomb hits car near children in Rafah,O,O,S,O,0
92,081b82770f8d421f4dfa802699e6971684df0fb86a6107aa2da07231b405bdd2,"Young Jewish Democrat feels 'abandoned' by party, joins NYC protest against Alvin Bragg",S,O,S,S,1
93,a7efe3ede6371055f11361ddec18c00169987ea746935f79b4af5b42e4f721e8,Survivors of the civil war in Sudan tell of rapes and other attacks,O,O,O,O,0
94,d864769a1e6b632a5421487237fca9cd534575cdbee8e85315a825464ac5cbeb,Connecticut NAACP president criticizes Yale-HBCU partnership: 'How does that help our community?',S,S,S,S,1
95,7e5d6cbabee749ef67e5735c429d13109fa34cb92764a4d3398d49a83449be6e,Biden announces that Israel and Hamas have agreed to a 'framework' for cease-fire deal: 'still work to do',O,O,S,O,0
96,2ca542f73120b5fcb110a55617fcf7684148aa873b223f5a862d1e3df4f8e1fa,"Arrests, violence reported in occupied West Bank as Israeli raids persist",S,O,S,S,1
97,8095ab7a2ca17e2a36a2a36f2bed701b772faa00cf874507198e5605c492c776,Baltimore bridge collapse: Powerful crane linked to CIA secret Cold War mission arrives to clean up debris,S,O,S,S,1
98,b2ea6cedb2180f58997a146cbe20db7392f272a00feca861a8008a0d5d23c5bd,Israeli military says it has hit hundreds of Hezbollah targets in southern Lebanon,O,O,O,O,0
99,14549238e018b45b62c3cbc6875a9b4211a68bb4cd2a7e6d7725f49c39fc036b,Medics in Gaza risking their lives to save people hurt by Israel’s war,S,S,S,S,1
100,7ce113290443e4597773846fb98b070131f08500db9b231bef990fd02398118b,Police hunt for suspects after war shrine is defaced with graffiti in Tokyo,O,O,S,O,0
101,f322a677643667b1205b00611b420b9129a87aeb1663e1f552e2c41080c4c76a,UNRWA probes employees over suspected involvement in October 7 attack,O,O,O,O,0
102,5674b1aa1fbef82fd88236a58e44a937e301d2c57d924378fca627f97621c744,"Finding that Israeli women were sexually attacked by Hamas doesn't justify hostilities, UN diplomat says",S,S,S,S,1
103,3a2936c03a08d7361f9c137034220d6e13c28d07a6f411a8de7fb1c7aa303144,"College protests bringing antisemitism back 'in style,' authors warn: It's 'accepted to some degree'",S,O,S,S,1
104,6240357311210d8a73cf949aa6bb9cb29b48ca2020d026cb527028e305b8af8f,Blinken reiterates US opposition to Israel or Hamas running post-war Gaza,O,O,O,O,0
105,c9df16a2677be8ddfe0328a6d762bc8c673065431ea854413a728b5312796f4d,Gaza war: US 'hopeful' Hamas will accept Israel's new ceasefire offer,O,O,S,O,0
106,15c84c7c83e54431e2f315452efe128d89cb5baed6de99af7e6e94d0a096a2cd,Netanyahu's speech to Congress: Can he rouse the world to the terror crisis it faces?,S,S,S,S,1
107,7506089f88154a82a712faa831c4f960b979f1937c5baea60cef19ec9deb5bd2,Israel military’s top lawyer warns troops over ‘improper conduct’ in Gaza,S,O,O,O,0
108,92fb39af39da7eb86e2a7063a14e99a998acaa45b9b16bdedbaf07551e191e52,"Israel faces 'long, difficult war' after Hamas attack from Gaza",S,O,S,S,1
109,ff1074446c28e1f7b70e6ed5604c17c7e9724989b8b1c98cd8dda79ffc874124,Gaza: Belfast-born dad reunited with children fleeing warzone,O,S,S,S,1
110,9d4083c3f149a47287700473a9a10652f313ef69523528b897c50d2f74c6e4c3,Newscast - UK Bans (Some) Arms Sales to Israel,O,O,O,O,0
111,d4d922856a21265940b5d67eaafad7db22dc7715a77d9a5dd68ed3f295757101,"Israel continues Gaza attacks, says ‘gaps’ remain in renewed truce talks",S,O,S,S,1
112,5157ce008ac1401ccbd6982acd509564f00010d7200e8d6548603182f41cfaa2,‘Many players have died’: Israel’s war on Gaza hits Palestinian football,S,O,S,S,1
113,202fd8909ce662b5cea3da8196299dfdccc5f4fbcd54fe2d8734cd79f74c449a,More powers to protect war memorials from protesters considered,O,O,O,O,0
114,9c655e1b1bed83c9e1e4317aed74cf066079531b9a73e8ad2223b41c9b4b5df6,"Displaced, bombed by Israel, Rafah’s kids seek warmth in hospital coveralls",S,S,O,S,1
115,97a08e63908978fea66e8c6515b412d27dc8808933fa3e13a670356d9b574e73,US issues warning to Iran of 'serious risk' if it carries out retaliatory attack against Israel: report,O,O,O,O,0
116,cba5721dfe7caf250373dc3b9375b6d7f2b978c87ec4568ee144e59ab5a77a83,Pakistan’s Kalash people are afraid for their future after Taliban attack,S,S,S,S,1
117,e32ea4ed233076868a624cca089d1bde89fbd598c8a1245ed57a65e5bdab9d0e,Woman attacked in shocking Pride parade beating caught on video,S,O,S,S,1
118,bc7c715a577662a9c0d8f57a70727e15846c5acaa7e46b30ca853a0c3aa67b2f,Netanyahu says Israel will have security control over Gaza after war,O,O,O,O,0
119,0db2710e571e313ab7cd6e5812e6fea84b35f52f3175a6e59873d6c00fe7fcf5,Taiwan to pick new president as China ramps up threats: 'choice between war and peace',S,S,S,S,1
120,616011758732672baaf0405073e21a5e2cdd0deb62ed05b5ab2f889a21f4cb1f,Israel-Gaza war: Blackburn councillors quit Labour,O,O,O,O,0
121,bbe162c00069767b148165dd71fce1319351f07cb34764c03473f75e7c9f7ede,"Israel-Gaza war: Displaced Gazans 'living in the open', UN says",O,S,S,S,1
122,ee210dee284a6509ceccb8a97272f0a7aaf49b09400a3c8551dc8c0bd621f555,US will respond if Houthis continue attacks,O,O,O,O,0
123,5bb550f9486ad3576840ec886db5ab02cf15854e6ecf0d084c1670fdf054f583,Timeline: Israel’s deadly seven-day raid in occupied West Bank’s Jenin,S,O,S,S,1
124,0831c9ca4f4c3e201cef2e715f529c0745ea1680408fbe1bf41087d75abf5a8b,At least 23 killed in latest Israeli attack on Gaza school,O,O,O,O,0
125,d589f1a14239437dfd1f527fdef7502cde9d43d8cb1208aa6a677f920560cb30,"Bill Maher trashes Kamala Harris for being 'full of s---' on Israel, Middle East: 'Just shut up'",S,S,S,S,1
126,f32f8434e0d9307ab5384f52ce0bce2a5ca3631293f6aa699863263e6f594466,Law enforcement brace as anti-Israel groups vow to bring tens of thousands of protesters to DNC in Chicago,S,O,O,O,0
127,046de4c901144a006bbff843ee0c0bc92cc59d23510cd2aed85551b0653e243e,Israeli defense minister tells US only ‘military action’ can return people to homes amid Hezbollah threat,S,S,S,S,1
128,876ce14175717be1a3fafa1a5092ad5fee14306bbf7d854625aeac5ea0e1d7e1,Gaza facing famine warns the UN,O,O,O,O,0
129,bf96d2a069ebd58bfb9073fafe0e8cbdd0cdd9d90abce2c7dcccf365ad249bb9,Families of Israeli hostages march towards Jerusalem,O,O,O,O,0
130,ddb660c0626b3bc6b6d01260079798be862421acdd2ee1e3e90ad8ad2fe131f1,Gaza war: What we know about Israel's Rafah hostage rescue raid,O,O,O,O,0
131,98e0bf29217ce55d846e458e66ac4e9f259368be67c6d74231c38cd62db5cd3b,Israel-Hamas war: Identities of 11 recently-released Israeli hostages revealed,O,O,O,O,0
132,77d013bc75294058571f7a25784ba74cd8347199a0942a183be3fa105a99d604,"Israeli hostage describes graphic sexual assault, beatings, torture in Gaza",S,O,O,O,0
133,ab5b0ad15c140e33767097300c5bc0edb94580967759fbb35abdb3a684d64d3d,"‘It’s war now’: As Bangladesh quota protests escalate, what’s next?",S,S,S,S,1
134,d99400d1e55cb018fb56f0335bd3796d6fe4dfcd489b31375aeecf167a1bfe99,"Newshour, What is Netanyahu's plan for Gaza after the war",O,O,O,O,0
135,bc966f0bbe9c9668bde1495940799e5a9978f6b4830bd1215cc3a773cb12bd4b,"Columbia president 'sorry' for canceled commencement amid anti-Israel protests, now faces 'hard questions'",S,O,O,O,0
136,dc217680f1b7bac0f32754d811bf6560a00a729327c2a4ad4d039e9bc5b3ec99,Photos: Palestinians forced to flee after Israel kills 39 in Khan Younis,O,O,S,O,0
137,187939cc066e51112354754bcea30f4b98e2fa7e31fffddc285ae5a2d87a7375,Iran issues chilling threat against Israel as Hezbollah drones preview larger attack,S,S,S,S,1
138,5ae1e5f5e73de657a1bfe3a5c1416007300691adcbac0fbd1cd75c61ad6fe9fd,What’s the economic toll of Israel’s war on Gaza?,O,O,S,O,0
139,b2b6e372fa8661459f3ef4ebd8f77f122a9e12fa89c95fe8e74b37c1c1144476,Iran issues warning to US about possible attacks on 2 cargo ships suspected of spy activities,O,O,O,O,0
140,1bc85736868c8eec83d5c4a78ad45b69ea1a201ee30b9476028b15e9d433ac61,Muslim leaders in swing states vow not to back Biden in 2024 over handling of Israel-Hamas war,O,O,O,O,0
141,10c7773ef48d81f05753b9fa506b2fd57d2dacfb571fc6b49548ec964ed584db,"Qatar, Egypt, US invite Israel and Hamas to resume Gaza ceasefire talks",O,O,O,O,0
142,54861863701e0a73f5ef8d532a9fe8a04573fb9412587195eed354e2a397d347,Jewish couple targeted in bloody Beverly Hills attack says antisemitism has hit a level they've 'never' seen,S,S,S,S,1
143,5ad16d5ba794f6bf7c6a69216351ef02e2263c3348e04d2c492cfca23da9dfc7,Argentine Jewish community recounts deadly 1994 bombing in midst of Israel-Hamas war,O,O,O,O,0
144,7510845182ec108028068f29283a52f82fffa4a084d70c52942a8d4a3618ff16,"Lemon trees, safety, hope: Memories of my Gaza home before war came",S,S,S,S,1
145,33e5ec48f09f60bce165aa75fcc5129eff42a3806e98a9b01ffaed0b672ea83d,Gaza ceasefire talks stall as Israel and Hamas dig in,O,O,S,O,0
146,7a8b583dbaf173a397ea38f3a6f60a6e8204a211a849d24cb23375aadab2abb3,Children starving to death in northern Gaza,O,S,S,S,1
147,ff76b249990f6dacbc6fd321ea86c2acc5055804b75ff15c109fcea14a79d3ec,Israel-Gaza war: Germany calls for more larger-scale aid,O,O,O,O,0
148,14b491b891ed33b4d6121e6d603456a4e12137240d15eb1d59606d8d6a19131f,Chaos at the Capitol: Over 40 Pro-Palestinian protesters arrested in Senate office building: police,S,S,S,S,1
149,4f41e6dfdd76fce114a0b559a132afe89399e2322f64a27ac4a51366a8d0c320,Israel-Gaza: More prisoner and hostage exchanges,O,O,O,O,0
150,2ff00abd084f2546de27e508a640e46a8dec89c43540ad937facf7bc2c5c9b5f,"Before Biden, these 5 past presidents faced health issues amid re-election",O,O,S,O,0
151,779bbe08136c1c938a82a5425642c6f8d36ef525b4975f1b6f8fa64705a90871,Anti-Israel protest organizer who won MLK Jr award called for ‘death and worse’ against Zionists: Report,S,S,S,S,1
152,b99df17baeb8c81d18eb2b67024d3473ad6d19685220a5539d579b2f52e9ffdb,"UCLA student slams university for 'encouraging violence,' turning campus into 'war zone': 'This is a disgrace'",S,S,S,S,1
153,8a521b0f805bf82e65bb3b6dad40bc9a17da7a524db85271dbe4d361de960e85,President Biden’s plan for a ceasefire sparks division in Israel,O,O,S,O,0
154,73c8acbd33bd1d07db2e3c672b27c424b015cf6ce2f9f748214e8935b87806c6,Israeli President Herzog apologizes to slain American hostage Hersh Goldberg-Polin during emotional eulogy,O,S,S,S,1
155,feeb9280a9f9cca4a8bb70cf3fb1104781c04ee52d40b7f35d7a320a44281998,Israelis band together amid most deadly attack since Yom Kippur War,S,O,S,S,1
156,7e2eda5f1bf6b40e87086e6ea57131f5e421297ee1dc0c9a0ad3c76b61d1bf3c,At least 50 killed in Israeli attacks as Gaza City fighting rages,O,O,S,O,0
157,ba308fcad559c323948d2b78433cb9ff10e5c938847b177bd3bf2b03f31052a0,Sudan civil war: The children living between starvation and death in Darfur,S,S,S,S,1
158,47573b2f1fdcd541a0e74e7f55ac7de82284f51590dd0c14179ce4585257d5ea,Vulnerable House Dem backpedals after refusing to condemn phrase seen as calling for 'extermination' of Jews,S,S,S,S,1
159,b7f5d0eb0ea369e6be1a8152defc062d35949eab648d4e3e0352e2bd54b44c3e,Uncommitted' protest vote in Michigan primary is warning Biden cannot ignore,S,O,S,S,1
160,0e639a78966a971f2fb772fb40ec8f1063a1596e9f7e0f2b0e69d86bc9ad8bb4,Israel recalls ambassador in war spat with Spain PM Pedro Sánchez,O,S,S,S,1
161,00336b47bdb3f3de5adfd41b0b95fbc021bc3252f485e1a53e7e71815f6ae1b8,Israel attack: 12 Thais killed and 11 kidnapped by Hamas gunmen,O,O,O,O,0
162,794ac860ab264021a7668145e7051fa08faea1f5eea36c23af7c7da4d74a3c9f,Gaza aid trucks stranded as Israel-Hamas war resumes,O,O,S,O,0
